The following miRNA-target pairs, validated by luciferase reporter experiments, were extracted manually from the corresponding reference. A few target genes not documented here may be available in "TarBase" and "miRecords" database system.

miRNA	Validated target	Pub Date	Reference
hsa-miR-26a	HMGA2	2007	Specific microRNAs are downregulated in human thyroid anaplastic carcinomas.
hsa-miR-27	Runx1	2009	MicroRNA-27 enhances differentiation of myeloblasts into granulocytes by post-transcriptionally downregulating Runx1
hsa-miR-27a	FOXO1	2009	Coordinate Regulation of FOXO1 by miR-27a, miR-96, and miR-182 in Breast Cancer Cells.
hsa-miR-27a	Runx1	2009	A regulatory interplay between miR-27a and Runx1 during megakaryopoiesis
hsa-miR-27a	prohibitin	2009	miR-320 targets transferrin receptor 1 (CD71) and inhibits cell proliferation.
hsa-miR-27a	Myt-1	2007	The oncogenic microRNA-27a targets genes that regulate specificity protein transcription factors and the G2-M checkpoint in MDA-MB-231 breast cancer cells.
hsa-miR-27a	ZBTB10	2007	The oncogenic microRNA-27a targets genes that regulate specificity protein transcription factors and the G2-M checkpoint in MDA-MB-231 breast cancer cells.
hsa-miR-27b	PPARgamma	2009	microRNA miR-27b impairs human adipocyte differentiation and targets PPARgamm
hsa-miR-296	HGS	2008	miR-296 regulates growth factor receptor overexpression in angiogenic endothelial cells.
hsa-miR-298	BACE1	2009	MicroRNA-21 is overexpressed in pancreatic cancer and a potential predictor of survival.
hsa-miR-298	BACE1	2008	MicroRNA-298 and microRNA-328 regulate expression of mouse beta -amyloid precursor protein converting enzyme 1.
hsa-miR-29a	B7-H3	2009	MicroRNA miR-29 modulates expression of immunoinhibitory molecule B7-H3: potential implications for immune based therapy of human solid tumors.
hsa-miR-29a	BACE1	2008	Loss of microRNA cluster miR-29a/b-1 in sporadic Alzheimer's disease correlates with increased BACE1/beta-secretase expression.
hsa-miR-29a	DNMT3A	2007	MicroRNA-29 family reverts aberrant methylation in lung cancer by targeting DNA methyltransferases 3A and 3B.
hsa-miR-29a	DNMT3B	2007	MicroRNA-29 family reverts aberrant methylation in lung cancer by targeting DNA methyltransferases 3A and 3B.
hsa-miR-29b	ACVR2A	2009	Biological functions of miR-29b contribute to positive regulation of osteoblast differentiation
hsa-miR-29b	ACVR2A	2009	Biological functions of miR-29b contribute to positive regulation of osteoblast differentiation
hsa-miR-29b	COL1A1	2009	Biological functions of miR-29b contribute to positive regulation of osteoblast differentiation
hsa-miR-29b	COL4A2	2009	Biological functions of miR-29b contribute to positive regulation of osteoblast differentiation
hsa-miR-29b	COL5A3	2009	Biological functions of miR-29b contribute to positive regulation of osteoblast differentiation
hsa-miR-29b	CTNNBIP1	2009	Biological functions of miR-29b contribute to positive regulation of osteoblast differentiation
hsa-miR-29b	CTNNBIP1	2009	Biological functions of miR-29b contribute to positive regulation of osteoblast differentiation
hsa-miR-29b	HDAC4	2009	Biological functions of miR-29b contribute to positive regulation of osteoblast differentiation
hsa-miR-29b	HDAC4	2009	Biological functions of miR-29b contribute to positive regulation of osteoblast differentiation
hsa-miR-29b	TGFss3	2009	Biological functions of miR-29b contribute to positive regulation of osteoblast differentiation
hsa-miR-29b	TGFss3	2009	Biological functions of miR-29b contribute to positive regulation of osteoblast differentiation
hsa-miR-29b	DNMT3B	2009	Detection of miR-106a in gastric carcinoma and its clinical significance.
hsa-miR-29b	Sp1	2009	Genomic loss of microRNA-101 leads to overexpression of histone methyltransferase EZH2 in cancer.
hsa-miR-29b	DNMT3A	2009	MicroRNA-298 and MicroRNA-328 Regulate Expression of Mouse {beta}-Amyloid Precursor Protein-converting Enzyme 1.
hsa-miR-29b	BACE1	2008	Loss of microRNA cluster miR-29a/b-1 in sporadic Alzheimer's disease correlates with increased BACE1/beta-secretase expression.
hsa-miR-29b	DNMT3A	2007	MicroRNA-29 family reverts aberrant methylation in lung cancer by targeting DNA methyltransferases 3A and 3B.
hsa-miR-29b	DNMT3B	2007	MicroRNA-29 family reverts aberrant methylation in lung cancer by targeting DNA methyltransferases 3A and 3B.
hsa-miR-29b	Mcl-1	2007	mir-29 regulates Mcl-1 protein expression and apoptosis.
hsa-miR-29b	Tcl1	2007	The role of microRNA and other non-coding RNA in the pathogenesis of chronic lymphocytic leukemia.
hsa-miR-29b	Tcl1	2006	Tcl1 expression in chronic lymphocytic leukemia is regulated by miR-29 and miR-181.
hsa-miR-29b	Mcl-1	2009	MicroRNA 29b functions in acute myeloid leukemia
hsa-miR-29c	COL15A1	2008	MicroRNA 29c is down-regulated in nasopharyngeal carcinomas, up-regulating mRNAs encoding extracellular matrix proteins.
hsa-miR-29c	COL1A1	2008	MicroRNA 29c is down-regulated in nasopharyngeal carcinomas, up-regulating mRNAs encoding extracellular matrix proteins.
hsa-miR-29c	COL1A2	2008	MicroRNA 29c is down-regulated in nasopharyngeal carcinomas, up-regulating mRNAs encoding extracellular matrix proteins.
hsa-miR-29c	COL3A1	2008	MicroRNA 29c is down-regulated in nasopharyngeal carcinomas, up-regulating mRNAs encoding extracellular matrix proteins.
hsa-miR-29c	COL4A1	2008	MicroRNA 29c is down-regulated in nasopharyngeal carcinomas, up-regulating mRNAs encoding extracellular matrix proteins.
hsa-miR-29c	COL4A2	2008	MicroRNA 29c is down-regulated in nasopharyngeal carcinomas, up-regulating mRNAs encoding extracellular matrix proteins.
hsa-miR-29c	FUSIP1iso1	2008	MicroRNA 29c is down-regulated in nasopharyngeal carcinomas, up-regulating mRNAs encoding extracellular matrix proteins.
hsa-miR-29c	LAMININ gamma1	2008	MicroRNA 29c is down-regulated in nasopharyngeal carcinomas, up-regulating mRNAs encoding extracellular matrix proteins.
hsa-miR-29c	SPARC	2008	MicroRNA 29c is down-regulated in nasopharyngeal carcinomas, up-regulating mRNAs encoding extracellular matrix proteins.
hsa-miR-29c	TDG	2008	MicroRNA 29c is down-regulated in nasopharyngeal carcinomas, up-regulating mRNAs encoding extracellular matrix proteins.
hsa-miR-29c	DNMT3A	2007	MicroRNA-29 family reverts aberrant methylation in lung cancer by targeting DNA methyltransferases 3A and 3B.
hsa-miR-29c	DNMT3B	2007	MicroRNA-29 family reverts aberrant methylation in lung cancer by targeting DNA methyltransferases 3A and 3B.
hsa-miR-302d	KLF13	2009	Target identification of microRNAs expressed highly in human embryonic stem cells
hsa-miR-302d	MBNL2	2009	Target identification of microRNAs expressed highly in human embryonic stem cells
hsa-miR-302d	TRPS1	2009	Target identification of microRNAs expressed highly in human embryonic stem cells
hsa-miR-30-3p	KRT7	2009	Identification of novel microRNA targets based on microRNA signatures in bladder cancer.
hsa-miR-30a	beclin 1	2009	Regulation of autophagy by a beclin 1-targeted microRNA, miR-30a, in cancer cells
hsa-miR-30e	Ubc9	2009	MicroRNA-mediated regulation of Ubc9 expression in cancer cells
hsa-miR-31	RhoA	2009	A pleiotropically acting microRNA, miR-31, inhibits breast cancer metastasis.
hsa-miR-31	FOXP3	2009	Human natural Treg microRNA signature: Role of microRNA-31 and microRNA-21 in FOXP3 expression
hsa-miR-32	PCAF	2008	MicroRNAs regulate critical genes associated with multiple myeloma pathogenesis.
hsa-miR-320	Hsp20	2009	MicroRNA-320 is involved in the regulation of cardiac ischemia/reperfusion injury by targeting heat-shock protein 20.
hsa-miR-320	TfR-1	2009	Polymorphic mature microRNAs from passenger strand of pre-miR-146a contribute to thyroid cancer.
hsa-miR-320	Mcl-1	2009	Specific activation of microRNA106b enables the p73 apoptotic response in chronic lymphocytic leukemia by targeting the ubiquitin ligase, Itch for degradation.
hsa-miR-320	BCL2	2009	The bifunctional microRNA miR-9/miR-9* regulates REST and CoREST and is downregulated in Huntington's disease.
hsa-miR-320	CD71	2008	The genomic analysis of erythrocyte microRNA expression in sickle cell diseases.
hsa-miR-324-5p	Gli1	2008	Concerted microRNA control of Hedgehog signalling in cerebellar neuronal progenitor and tumour cells.
hsa-miR-326	Gli1	2008	Concerted microRNA control of Hedgehog signalling in cerebellar neuronal progenitor and tumour cells.
hsa-miR-328	ABCG2	2009	MicroRNA-328 Negatively Regulates the Expression of Breast Cancer Resistance Protein (BCRP/ABCG2) in Human Cancer Cells.
hsa-miR-328	BACE1	2009	MicroRNA-377 is up-regulated and can lead to increased fibronectin production in diabetic nephropathy.
hsa-miR-328	CD44	2008	MicroRNA miR-328 regulates zonation morphogenesis by targeting CD44 expression.
hsa-miR-328	BACE1	2008	MicroRNA-298 and microRNA-328 regulate expression of mouse beta -amyloid precursor protein converting enzyme 1.
hsa-miR-330	E2F1	2009	MicroRNA-330 acts as tumor suppressor and induces apoptosis of prostate cancer cells through E2F1-mediated suppression of Akt phosphorylation.
hsa-miR-335	SOX4	2008	Endogenous human microRNAs that suppress breast cancer metastasis.
hsa-miR-338	COXIV	2009	MicroRNA-338 regulates local cytochrome c oxidase IV mRNA levels and oxidative phosphorylation in the axons of sympathetic neurons
hsa-miR-34	SIRT1	2009	MiR-34, SIRT1 and p53: the feedback loop
hsa-miR-346	EFEMP2	2006	A limited set of human MicroRNA is deregulated in follicular thyroid carcinoma.
hsa-miR-346	RIP140	2009	An Epigenetic Switch Involving NF-kappaB, Lin28, Let-7 MicroRNA, and IL6 Links Inflammation to Cell Transformation
hsa-miR-34a	BCL2	2009	miR-34a, a microRNA up-regulated in a double transgenic mouse model of Alzheimer's disease, inhibits bcl2 translation.
hsa-miR-34a	JAG1	2009	MicroRNA profiling identifies miR-34a and miR-21 and their target genes JAG1 and WNT1 in the co-ordinate regulation of dendritic cell differentiation
hsa-miR-34a	WNT1	2009	MicroRNA profiling identifies miR-34a and miR-21 and their target genes JAG1 and WNT1 in the co-ordinate regulation of dendritic cell differentiation
hsa-miR-34a	c-Met	2009	MicroRNA-34a inhibits uveal melanoma cell proliferation and migration through downregulation of c-Met.
hsa-miR-34a	c-Met	2009	miR-34a inhibits migration and invasion by down-regulation of c-Met expression in human hepatocellular carcinoma cells.
hsa-miR-34a	BCL2	2008	A functional screen identifies miR-34a as a candidate neuroblastoma tumor suppressor gene.
hsa-miR-34a	MYCN	2008	A functional screen identifies miR-34a as a candidate neuroblastoma tumor suppressor gene.
hsa-miR-34a	E2F3	2008	Down-regulation of the microRNAs miR-34a, miR-127, and miR-200b in rat liver during hepatocarcinogenesis induced by a methyl-deficient diet.
hsa-miR-34a	NOTCH1	2008	Down-regulation of the microRNAs miR-34a, miR-127, and miR-200b in rat liver during hepatocarcinogenesis induced by a methyl-deficient diet.
hsa-miR-34a	SIRT1	2008	Effects of miR-34a on cell growth and chemoresistance in prostate cancer PC3 cells.
hsa-miR-34a	GRM7	2008	Evidence for Selective microRNAs and their Effectors as Common Long-Term Targets for the Actions of Mood Stabilizers
hsa-miR-34a	SIRT1	2008	MicroRNA-101, down-regulated in hepatocellular carcinoma, promotes apoptosis and suppresses tumorigenicity.
hsa-miR-34a	c-Met	2008	The cell growth suppressor, mir-126, targets IRS-1.
hsa-miR-34a	MYCN	2008	The MYCN oncogene is a direct target of miR-34a.
hsa-miR-34a	E2F	2007	MicroRNA-34a functions as a potential tumor suppressor by inducing apoptosis in neuroblastoma cells.
hsa-miR-34a	E2F3	2007	MicroRNA-34a functions as a potential tumor suppressor by inducing apoptosis in neuroblastoma cells.
hsa-miR-34a	BCL2	2007	p53-mediated activation of miRNA34 candidate tumor-suppressor genes.
hsa-miR-34a	BCL2	2007	Transactivation of miR-34a by p53 broadly influences gene expression and promotes apoptosis.
hsa-miR-34a	BIRC3	2007	Transactivation of miR-34a by p53 broadly influences gene expression and promotes apoptosis.
hsa-miR-34a	DcR3	2007	Transactivation of miR-34a by p53 broadly influences gene expression and promotes apoptosis.
hsa-miR-34a	E2F	2007	Tumor-suppressive miR-34a induces senescence-like growth arrest through modulation of the E2F pathway in human colon cancer cells.
hsa-miR-34a	c-Met	2009	MicroRNA-34a inhibits glioblastoma growth by targeting multiple oncogenes
hsa-miR-34a	Notch-1	2009	MicroRNA-34a inhibits glioblastoma growth by targeting multiple oncogenes
hsa-miR-34a	Notch-2	2009	MicroRNA-34a inhibits glioblastoma growth by targeting multiple oncogenes
hsa-miR-34a	CDK6	2009	MicroRNA-34a inhibits glioblastoma growth by targeting multiple oncogenes
hsa-miR-34b	CREB	2009	miR-34b targets cyclic AMP-responsive element binding protein in acute myeloid leukemia.
hsa-miR-34b	CDK6	2008	A microRNA DNA methylation signature for human cancer metastasis
hsa-miR-34b	c-myc	2008	A microRNA DNA methylation signature for human cancer metastasis
hsa-miR-34b	c-myc	2008	MYC translocation-negative classical Burkitt lymphoma cases: an alternative pathogenetic mechanism involving miRNA deregulation.
hsa-miR-34b	BCL2	2007	p53-mediated activation of miRNA34 candidate tumor-suppressor genes.
hsa-miR-34c	c-myc	2008	A microRNA DNA methylation signature for human cancer metastasis
hsa-miR-34c	E2F3	2008	A microRNA DNA methylation signature for human cancer metastasis
hsa-miR-34c	BCL2	2007	p53-mediated activation of miRNA34 candidate tumor-suppressor genes.
hsa-miR-34c	c-Met	2010	Hsa-miR-34c suppresses growth and invasion of human laryngeal carcinoma cells via targeting c-Met.
hsa-miR-370	MAP3K8	2008	Epigenetic regulation of microRNA-370 by interleukin-6 in malignant human cholangiocytes.
hsa-miR-372	KLF13	2009	Target identification of microRNAs expressed highly in human embryonic stem cells
hsa-miR-372	MBNL2	2009	Target identification of microRNAs expressed highly in human embryonic stem cells
hsa-miR-372	TRPS1	2009	Target identification of microRNAs expressed highly in human embryonic stem cells
hsa-miR-372	LATS2	2006	A genetic screen implicates miRNA-372 and miRNA-373 as oncogenes in testicular germ cell tumors.
hsa-miR-372	WEE1	2009	microRNAs regulate human embryonic stem cell division
hsa-miR-373	RAD23B	2009	MicroRNA regulation of DNA repair gene expression in hypoxic stress
hsa-miR-373	LATS2	2009	"MicroRNA-373 (miR-373) post-transcriptionally regulates large tumor suppressor, homolog 2 (LATS2) and stimulates proliferation in human esophageal cancer.
"
hsa-miR-373	CD44	2008	The microRNAs miR-373 and miR-520c promote tumour invasion and metastasis.
hsa-miR-373	LATS2	2006	A genetic screen implicates miRNA-372 and miRNA-373 as oncogenes in testicular germ cell tumors.
hsa-miR-375	PDK1	2008	miR-375 targets PDK1 and regulates glucose-induced biological responses in pancreatic {beta}-cells.
hsa-miR-375	Mtpn	2004	A pancreatic islet-specific microRNA regulates insulin secretion.
hsa-miR-375	TIMM8A	2009	A high throughput experimental approach to identify miRNA targets in human cells
hsa-miR-378	GalNT-7	2009	MicroRNA miR-378 regulates nephronectin expression modulating osteoblast differentiation by targeting GalNT-7
hsa-miR-424	PLAG1	2009	miRNA deregulation by epigenetic silencing disrupts suppression of the oncogene PLAG1 in chronic lymphocytic leukemia.
hsa-miR-429	SIP1/ZEB4	2008	A double-negative feedback loop between ZEB1-SIP1 and the microRNA-200 family regulates epithelial-mesenchymal transition
hsa-miR-429	ZEB1/deltaEF1	2008	A double-negative feedback loop between ZEB1-SIP1 and the microRNA-200 family regulates epithelial-mesenchymal transition
hsa-miR-429	SIP1(ZEB2)	2008	The miR-200 family and miR-205 regulate epithelial to mesenchymal transition by targeting ZEB1 and SIP1.
hsa-miR-429	ZEB1(deltaEF1)	2008	The miR-200 family and miR-205 regulate epithelial to mesenchymal transition by targeting ZEB1 and SIP1.
hsa-miR-429	SIP1(ZEB2)	2008	The miR-200 family inhibits epithelial-mesenchymal transition and cancer cell migration by direct targeting of E-cadherin transcriptional repressors ZEB1 and ZEB2.
hsa-miR-429	ZEB1(deltaEF1)	2008	The miR-200 family inhibits epithelial-mesenchymal transition and cancer cell migration by direct targeting of E-cadherin transcriptional repressors ZEB1 and ZEB2.
hsa-miR-429	WAVE3	2009	The miR200 family of microRNAs regulates WAVE3-dependent cancer cell invasion
hsa-miR-429	ZEB1	2009	Regulation of miR-200 family microRNAs and ZEB transcription factors in ovarian cancer: Evidence supporting a mesothelial-to-epithelial transition
hsa-miR-429	ZEB2	2009	Regulation of miR-200 family microRNAs and ZEB transcription factors in ovarian cancer: Evidence supporting a mesothelial-to-epithelial transition
hsa-miR-433	FGF20	2008	Variation in the miRNA-433 binding site of FGF20 confers risk for Parkinson disease by overexpression of alpha-synuclein.
hsa-miR-449a	HDAC-1	2009	miR-449a targets HDAC-1 and induces growth arrest in prostate cancer.
hsa-miR-451	MIF	2009	microRNA-451 regulates macrophage migration inhibitory factor production and proliferation of gastrointestinal cancer cells.
hsa-miR-451	MIF	2009	microRNA-451 regulates macrophage migration inhibitory factor production and proliferation of gastrointestinal cancer cells.
hsa-miR-485-3p	NTRK3	2009	Allele variants in functional MicroRNA target sites of the neurotrophin-3 receptor gene (NTRK3) as susceptibility factors for anxiety disorders.
hsa-miR-504	DRD1	2009	Differential allelic expression of dopamine D1 receptor gene (DRD1) is modulated by microRNA miR-504
hsa-miR-504	DRD1	2009	Differential Allelic Expression of Dopamine D1 Receptor Gene (DRD1) Is Modulated by microRNA miR-504
hsa-miR-509	NTRK3	2009	Allele variants in functional MicroRNA target sites of the neurotrophin-3 receptor gene (NTRK3) as susceptibility factors for anxiety disorders.
hsa-miR-510	HTR3E	2008	First evidence for an association of a functional variant in the microRNA-510 target site of the serotonin receptor type 3E gene with diarrhea predominant irritable bowel syndrome.
hsa-miR-510	PDEF	2008	MicroRNA-mediated inhibition of prostate-derived Ets factor messenger RNA translation affects prostate-derived Ets factor regulatory networks in human breast cancer.
hsa-miR-512-5p	Mcl-1	2009	Chromatin remodeling at Alu repeats by epigenetic treatment activates silenced microRNA-512-5p with downregulation of Mcl-1 in human gastric cancer cells.
hsa-miR-513	B7-H	2009	MicroRNA-513 regulates B7-H1 translation and is involved in IFN-gamma-induced B7-H1 expression in cholangiocytes
hsa-miR-519	HuR	2010	miR-519 suppresses tumor growth by reducing HuR levels.
hsa-miR-519c	ABCG2	2009	Escape from hsa-miR-519c enables drug-resistant cells to maintain high expression of ABCG2
hsa-miR-520c	CD44	2008	The microRNAs miR-373 and miR-520c promote tumour invasion and metastasis.
hsa-miR-520h	ABCG2	2009	Escape from hsa-miR-519c enables drug-resistant cells to maintain high expression of ABCG2
hsa-miR-521	CSA	2008	Radiation modulation of microRNA in prostate cancer cell lines.
hsa-miR-532-5p	RUNX3	2009	Regulation of RUNX3 Tumor Suppressor Gene Expression in Cutaneous Melanoma.
hsa-miR-548d-3p	ERBB2	2009	Preliminary validation of ERBB2 expression regulated by miR-548d-3p and miR-559
hsa-miR-559	ERBB2	2009	Preliminary validation of ERBB2 expression regulated by miR-548d-3p and miR-559
hsa-miR-562	EYA1	2009	Loss of heterozygosity at 2q37 in sporadic Wilms' tumor: putative role for miR-562
hsa-miR-659	GRN	2008	Common variation in the miR-659 binding-site of GRN is a major risk factor for TDP43-positive frontotemporal dementia.
hsa-miR-661	MTA1	2009	MicroRNA-661, a c/EBPalpha target, inhibits metastatic tumor antigen 1 and regulates its functions.
hsa-miR-7	SNCA	2009	Repression of alpha-synuclein expression and toxicity by microRNA-7.
hsa-miR-7	EGFR	2009	MicroRNA-184 antagonizes microRNA-205 to maintain SHIP2 levels in epithelia.
hsa-miR-7	EGFR	2009	MicroRNA-21 contributes to myocardial disease by stimulating MAP kinase signalling in fibroblasts.
hsa-miR-7	EGFR	2009	MicroRNA-34a Inhibits Uveal Melanoma Cell Proliferation and Migration through Downregulation of c-Met.
hsa-miR-7	EGFR	2009	Regulation of epidermal growth factor receptor signaling in human cancer cells by microRNA-7.
hsa-miR-7	EGFR	2008	microRNA-7 inhibits the epidermal growth factor receptor and the Akt pathway and is down-regulated in glioblastoma.
hsa-miR-7	Pak1	2008	MicroRNA-7, a homeobox D10 target, inhibits p21-activated kinase 1 and regulates its functions.
hsa-miR-709	BORIS	2009	DNA damage-induced upregulation of miR-709 in the germline downregulates BORIS to counteract aberrant DNA hypomethylation
hsa-miR-765	NTRK3	2009	Allele variants in functional MicroRNA target sites of the neurotrophin-3 receptor gene (NTRK3) as susceptibility factors for anxiety disorders.
hsa-miR-9	E-cadherin	2009	MicroRNA-9 reduces cell invasion and E-cadherin secretion in SK-Hep-1 cell.
hsa-miR-9	NF-kappaB1	2009	MicroRNA-9 inhibits ovarian cancer cell growth through regulation of NF-kappaB1.
hsa-miR-9	TLX	2009	A feedback regulatory loop involving microRNA-9 and nuclear receptor TLX in neural stem cell fate determination
hsa-miR-9	TrkC	2009	microRNA-1 negatively regulates expression of the hypertrophy-associated genes calmodulin and Mef2a.
hsa-miR-9	REST	2009	Role of miR-143 targeting KRAS in colorectal tumorigenesis.
hsa-miR-9	MMP13	2009	The identification of differentially expressed microRNA in osteoarthritic tissue that modulate the production of TNF-alpha and MMP13
hsa-miR-9	TrkC	2008	MicroRNA profiling in human medulloblastoma.
hsa-miR-9	PRDM1/Blimp-1	2008	MicroRNA-mediated down-regulation of PRDM1/Blimp-1 in Hodgkin/Reed-Sternberg cells: a potential pathogenetic lesion in Hodgkin lymphomas.
hsa-miR-9	ONECUT-2	2006	MicroRNA-9 controls the expression of Granuphilin/Slp4 and the secretory response of insulin-producing cells.
hsa-miR-9*	CoREST	2009	MicroRNA profiling in human medulloblastoma.
hsa-miR-92b	p57	2009	MicroRNA 92b Controls the G1/S Checkpoint Gene p57 in Human Embryonic Stem Cells
hsa-miR-93	FUS1	2009	miR-93, miR-98, and miR-197 regulate expression of tumor suppressor gene FUS1.
hsa-miR-93	p21	2009	Functional links between clustered microRNAs: suppression of cell-cycle inhibitors by microRNA clusters in gastric cancer.
hsa-miR-93	E2F1	2009	Role of the miR-106b-25 microRNA cluster in hepatocellular carcinoma.
hsa-miR-93	E2F1	2008	E2F1-regulated microRNAs impair TGFbeta-dependent cell-cycle arrest and apoptosis in gastric cancer.
hsa-miR-93	PCAF	2008	MicroRNAs regulate critical genes associated with multiple myeloma pathogenesis.
hsa-miR-93	TP53INP1	2008	Roles for microRNAs, miR-93 and miR-130b, and tumor protein 53-induced nuclear protein 1 tumor suppressor in cell growth dysregulation by human T-cell lymphotrophic virus 1.
hsa-miR-96	FOXO1	2009	Coordinate Regulation of FOXO1 by miR-27a, miR-96, and miR-182 in Breast Cancer Cells.
hsa-miR-98	FUS1	2009	miR-93, miR-98, and miR-197 regulate expression of tumor suppressor gene FUS1.
hsa-miR-98	HMGA2	2007	High mobility group A2 is a target for miRNA-98 in head and neck squamous cell carcinoma.
